variant,threads,N,K,chunk,time
sequential,1,100000,20,0,0.523510
static,1,100000,20,0,0.492489
dynamic,1,100000,20,1,0.455228
guided,1,100000,20,1,0.525984
sequential,1,100000,20,0,0.460379
static,1,100000,20,0,0.454815
dynamic,1,100000,20,1,0.463812
guided,1,100000,20,1,0.450464
sequential,1,100000,20,0,0.463921
static,1,100000,20,0,0.456863
dynamic,1,100000,20,1,0.447037
guided,1,100000,20,1,0.430641
sequential,1,100000,20,0,0.446639
static,1,100000,20,0,0.428463
dynamic,1,100000,20,4,0.438076
guided,1,100000,20,4,0.435824
sequential,1,100000,20,0,0.441995
static,1,100000,20,0,0.417964
dynamic,1,100000,20,4,0.440792
guided,1,100000,20,4,0.432684
sequential,1,100000,20,0,0.448355
static,1,100000,20,0,0.527509
dynamic,1,100000,20,4,0.479411
guided,1,100000,20,4,0.510411
sequential,1,100000,20,0,0.488112
static,1,100000,20,0,0.465039
dynamic,1,100000,20,16,0.472071
guided,1,100000,20,16,0.467649
sequential,1,100000,20,0,0.445763
static,1,100000,20,0,0.462725
dynamic,1,100000,20,16,0.460210
guided,1,100000,20,16,0.439537
sequential,1,100000,20,0,0.456565
static,1,100000,20,0,0.412421
dynamic,1,100000,20,16,0.440911
guided,1,100000,20,16,0.454224
sequential,1,100000,20,0,0.454298
static,1,100000,20,0,0.448524
dynamic,1,100000,20,64,0.427477
guided,1,100000,20,64,0.439391
sequential,1,100000,20,0,0.432525
static,1,100000,20,0,0.443458
dynamic,1,100000,20,64,0.447908
guided,1,100000,20,64,0.430671
sequential,1,100000,20,0,0.436342
static,1,100000,20,0,0.438288
dynamic,1,100000,20,64,0.441504
guided,1,100000,20,64,0.424070
sequential,2,100000,20,0,0.446232
static,2,100000,20,0,0.218124
dynamic,2,100000,20,1,0.220416
guided,2,100000,20,1,0.238429
sequential,2,100000,20,0,0.446013
static,2,100000,20,0,0.225263
dynamic,2,100000,20,1,0.284235
guided,2,100000,20,1,0.307320
sequential,2,100000,20,0,0.587384
static,2,100000,20,0,0.299329
dynamic,2,100000,20,1,0.277292
guided,2,100000,20,1,0.303029
sequential,2,100000,20,0,0.571086
static,2,100000,20,0,0.297256
dynamic,2,100000,20,4,0.268776
guided,2,100000,20,4,0.282258
sequential,2,100000,20,0,0.499870
static,2,100000,20,0,0.276856
