threads,variant,N,B,time
1,1,100000,32,0.002413 s
1,1,100000,32,0.002431 s
1,1,100000,32,0.002415 s
1,1,100000,256,0.002451 s
1,1,100000,256,0.002491 s
1,1,100000,256,0.002474 s
1,1,100000,4096,0.002482 s
1,1,100000,4096,0.002500 s
1,1,100000,4096,0.002417 s
1,1,500000,32,0.014062 s
1,1,500000,32,0.012514 s
1,1,500000,32,0.012417 s
1,1,500000,256,0.012574 s
1,1,500000,256,0.012404 s
1,1,500000,256,0.012872 s
1,1,500000,4096,0.012093 s
1,1,500000,4096,0.012233 s
1,1,500000,4096,0.012441 s
1,1,1000000,32,0.024985 s
1,1,1000000,32,0.026666 s
1,1,1000000,32,0.025722 s
1,1,1000000,256,0.024701 s
1,1,1000000,256,0.024981 s
1,1,1000000,256,0.025054 s
1,1,1000000,4096,0.024673 s
1,1,1000000,4096,0.025112 s
1,1,1000000,4096,0.026843 s
1,2,100000,32,0.000635 s
1,2,100000,32,0.000692 s
1,2,100000,32,0.000681 s
1,2,100000,256,0.000648 s
1,2,100000,256,0.000681 s
1,2,100000,256,0.000664 s
1,2,100000,4096,0.000632 s
1,2,100000,4096,0.000661 s
1,2,100000,4096,0.000639 s
1,2,500000,32,0.003168 s
1,2,500000,32,0.003428 s
1,2,500000,32,0.003216 s
1,2,500000,256,0.003231 s
1,2,500000,256,0.003288 s
1,2,500000,256,0.003286 s
1,2,500000,4096,0.003178 s
1,2,500000,4096,0.003249 s
1,2,500000,4096,0.003348 s
1,2,1000000,32,0.006234 s
1,2,1000000,32,0.006415 s
1,2,1000000,32,0.006372 s
1,2,1000000,256,0.006471 s
1,2,1000000,256,0.006610 s
1,2,1000000,256,0.006531 s
1,2,1000000,4096,0.006489 s
1,2,1000000,4096,0.006710 s
1,2,1000000,4096,0.006592 s
1,3,100000,32,0.000249 s
1,3,100000,32,0.000258 s
1,3,100000,32,0.000248 s
1,3,100000,256,0.000264 s
1,3,100000,256,0.000249 s
1,3,100000,256,0.000252 s
1,3,100000,4096,0.000285 s
1,3,100000,4096,0.000298 s
1,3,100000,4096,0.000285 s
1,3,500000,32,0.001185 s
1,3,500000,32,0.001209 s
1,3,500000,32,0.001422 s
1,3,500000,256,0.001189 s
1,3,500000,256,0.001176 s
1,3,500000,256,0.001603 s
1,3,500000,4096,0.001204 s
1,3,500000,4096,0.001319 s
1,3,500000,4096,0.001258 s
1,3,1000000,32,0.002389 s
1,3,1000000,32,0.002417 s
1,3,1000000,32,0.002545 s
1,3,1000000,256,0.002649 s
1,3,1000000,256,0.002391 s
1,3,1000000,256,0.002395 s
1,3,1000000,4096,0.002450 s
1,3,1000000,4096,0.002525 s
1,3,1000000,4096,0.002524 s
2,1,100000,32,0.006899 s
2,1,100000,32,0.006549 s
2,1,100000,32,0.006571 s
2,1,100000,256,0.007331 s
2,1,100000,256,0.007286 s
2,1,100000,256,0.006803 s
2,1,100000,4096,0.008308 s
2,1,100000,4096,0.008153 s
2,1,100000,4096,0.008856 s
2,1,500000,32,0.033304 s
2,1,500000,32,0.029014 s
2,1,500000,32,0.031364 s
2,1,500000,256,0.036967 s
2,1,500000,256,0.035736 s
2,1,500000,256,0.035298 s
2,1,500000,4096,0.040300 s
2,1,500000,4096,0.039865 s
2,1,500000,4096,0.040963 s
2,1,1000000,32,0.063618 s
2,1,1000000,32,0.066059 s
2,1,1000000,32,0.068322 s
2,1,1000000,256,0.070520 s
2,1,1000000,256,0.072209 s
2,1,1000000,256,0.071572 s
2,1,1000000,4096,0.083950 s
2,1,1000000,4096,0.086199 s
2,1,1000000,4096,0.083164 s
2,2,100000,32,0.001402 s
2,2,100000,32,0.001437 s
2,2,100000,32,0.001397 s
2,2,100000,256,0.001272 s
2,2,100000,256,0.001159 s
2,2,100000,256,0.001202 s
2,2,100000,4096,0.000594 s
2,2,100000,4096,0.000587 s
2,2,100000,4096,0.000595 s
2,2,500000,32,0.006674 s
2,2,500000,32,0.006367 s
2,2,500000,32,0.007084 s
2,2,500000,256,0.005685 s
2,2,500000,256,0.005637 s
2,2,500000,256,0.005560 s
2,2,500000,4096,0.002910 s
2,2,500000,4096,0.002970 s
2,2,500000,4096,0.002837 s
2,2,1000000,32,0.014600 s
2,2,1000000,32,0.013081 s
2,2,1000000,32,0.013234 s
2,2,1000000,256,0.010776 s
2,2,1000000,256,0.010882 s
2,2,1000000,256,0.010809 s
2,2,1000000,4096,0.005194 s
2,2,1000000,4096,0.005331 s
2,2,1000000,4096,0.005257 s
2,3,100000,32,0.000330 s
2,3,100000,32,0.000295 s
2,3,100000,32,0.000380 s
2,3,100000,256,0.000322 s
2,3,100000,256,0.000359 s
2,3,100000,256,0.000236 s
2,3,100000,4096,0.000365 s
2,3,100000,4096,0.000394 s
2,3,100000,4096,0.000332 s
2,3,500000,32,0.001005 s
2,3,500000,32,0.001047 s
2,3,500000,32,0.000828 s
2,3,500000,256,0.000715 s
2,3,500000,256,0.000772 s
2,3,500000,256,0.000891 s
2,3,500000,4096,0.001021 s
2,3,500000,4096,0.001128 s
2,3,500000,4096,0.000749 s
2,3,1000000,32,0.001430 s
2,3,1000000,32,0.001451 s
2,3,1000000,32,0.001430 s
2,3,1000000,256,0.001502 s
2,3,1000000,256,0.001475 s
2,3,1000000,256,0.001490 s
2,3,1000000,4096,0.001878 s
2,3,1000000,4096,0.001528 s
2,3,1000000,4096,0.001660 s
4,1,100000,32,0.007997 s
4,1,100000,32,0.007403 s
4,1,100000,32,0.007443 s
4,1,100000,256,0.008324 s
4,1,100000,256,0.008076 s
4,1,100000,256,0.007895 s
4,1,100000,4096,0.010167 s
4,1,100000,4096,0.010556 s
4,1,100000,4096,0.010230 s
4,1,500000,32,0.033533 s
4,1,500000,32,0.032815 s
4,1,500000,32,0.034389 s
4,1,500000,256,0.037647 s
4,1,500000,256,0.038486 s
4,1,500000,256,0.038360 s
4,1,500000,4096,0.051347 s
4,1,500000,4096,0.049714 s
4,1,500000,4096,0.050572 s
4,1,1000000,32,0.068527 s
4,1,1000000,32,0.066840 s
4,1,1000000,32,0.065753 s
4,1,1000000,256,0.074873 s
4,1,1000000,256,0.077407 s
4,1,1000000,256,0.079882 s
4,1,1000000,4096,0.095470 s
4,1,1000000,4096,0.105579 s
4,1,1000000,4096,0.101433 s
4,2,100000,32,0.001469 s
4,2,100000,32,0.001666 s
4,2,100000,32,0.001439 s
4,2,100000,256,0.001102 s
4,2,100000,256,0.001123 s
4,2,100000,256,0.001064 s
4,2,100000,4096,0.000667 s
4,2,100000,4096,0.000694 s
4,2,100000,4096,0.000580 s
4,2,500000,32,0.006843 s
4,2,500000,32,0.007239 s
4,2,500000,32,0.006727 s
4,2,500000,256,0.004578 s
4,2,500000,256,0.004536 s
4,2,500000,256,0.004587 s
4,2,500000,4096,0.002311 s
4,2,500000,4096,0.002428 s
4,2,500000,4096,0.002520 s
4,2,1000000,32,0.013184 s
4,2,1000000,32,0.013450 s
4,2,1000000,32,0.013404 s
4,2,1000000,256,0.008761 s
4,2,1000000,256,0.009510 s
4,2,1000000,256,0.008664 s
4,2,1000000,4096,0.004751 s
4,2,1000000,4096,0.004467 s
4,2,1000000,4096,0.004681 s
4,3,100000,32,0.000330 s
4,3,100000,32,0.000336 s
4,3,100000,32,0.000330 s
4,3,100000,256,0.000278 s
4,3,100000,256,0.000309 s
4,3,100000,256,0.000265 s
4,3,100000,4096,0.000330 s
4,3,100000,4096,0.000380 s
4,3,100000,4096,0.000372 s
4,3,500000,32,0.000692 s
4,3,500000,32,0.000622 s
4,3,500000,32,0.000538 s
4,3,500000,256,0.000499 s
4,3,500000,256,0.000743 s
4,3,500000,256,0.000668 s
4,3,500000,4096,0.000873 s
4,3,500000,4096,0.000592 s
4,3,500000,4096,0.000701 s
4,3,1000000,32,0.001201 s
4,3,1000000,32,0.001018 s
4,3,1000000,32,0.001149 s
4,3,1000000,256,0.001104 s
4,3,1000000,256,0.000906 s
4,3,1000000,256,0.001162 s
4,3,1000000,4096,0.000961 s
4,3,1000000,4096,0.000892 s
4,3,1000000,4096,0.001116 s
8,1,100000,32,0.007982 s
8,1,100000,32,0.008179 s
8,1,100000,32,0.008220 s
8,1,100000,256,0.009125 s
8,1,100000,256,0.009618 s
8,1,100000,256,0.009171 s
8,1,100000,4096,0.012666 s
8,1,100000,4096,0.011569 s
8,1,100000,4096,0.011430 s
8,1,500000,32,0.039687 s
8,1,500000,32,0.042945 s
8,1,500000,32,0.040752 s
8,1,500000,256,0.045419 s
8,1,500000,256,0.048417 s
8,1,500000,256,0.045574 s
8,1,500000,4096,0.054879 s
8,1,500000,4096,0.061874 s
8,1,500000,4096,0.055591 s
8,1,1000000,32,0.083887 s
8,1,1000000,32,0.078566 s
8,1,1000000,32,0.080179 s
8,1,1000000,256,0.092368 s
8,1,1000000,256,0.100774 s
8,1,1000000,256,0.095538 s
8,1,1000000,4096,0.123026 s
8,1,1000000,4096,0.118867 s
8,1,1000000,4096,0.126132 s
8,2,100000,32,0.001709 s
8,2,100000,32,0.001664 s
8,2,100000,32,0.001528 s
8,2,100000,256,0.001227 s
8,2,100000,256,0.001200 s
8,2,100000,256,0.001200 s
8,2,100000,4096,0.000716 s
8,2,100000,4096,0.000645 s
8,2,100000,4096,0.001455 s
8,2,500000,32,0.006928 s
8,2,500000,32,0.006865 s
8,2,500000,32,0.006482 s
8,2,500000,256,0.004553 s
8,2,500000,256,0.004443 s
8,2,500000,256,0.004543 s
8,2,500000,4096,0.002333 s
8,2,500000,4096,0.002375 s
8,2,500000,4096,0.002457 s
8,2,1000000,32,0.013235 s
8,2,1000000,32,0.013835 s
8,2,1000000,32,0.013498 s
8,2,1000000,256,0.008401 s
8,2,1000000,256,0.008637 s
8,2,1000000,256,0.008569 s
8,2,1000000,4096,0.004501 s
8,2,1000000,4096,0.004619 s
8,2,1000000,4096,0.004616 s
8,3,100000,32,0.000477 s
8,3,100000,32,0.000534 s
8,3,100000,32,0.000427 s
8,3,100000,256,0.000371 s
8,3,100000,256,0.000413 s
8,3,100000,256,0.000478 s
8,3,100000,4096,0.000754 s
8,3,100000,4096,0.000459 s
8,3,100000,4096,0.000541 s
8,3,500000,32,0.000594 s
8,3,500000,32,0.000611 s
8,3,500000,32,0.000961 s
8,3,500000,256,0.000820 s
8,3,500000,256,0.000759 s
8,3,500000,256,0.000652 s
8,3,500000,4096,0.000824 s
8,3,500000,4096,0.001077 s
8,3,500000,4096,0.001170 s
8,3,1000000,32,0.001038 s
8,3,1000000,32,0.001141 s
8,3,1000000,32,0.000982 s
8,3,1000000,256,0.000936 s
8,3,1000000,256,0.001674 s
8,3,1000000,256,0.001163 s
8,3,1000000,4096,0.001317 s
8,3,1000000,4096,0.001314 s
8,3,1000000,4096,0.001144 s
16,1,100000,32,0.009888 s
16,1,100000,32,0.009777 s
16,1,100000,32,0.009895 s
16,1,100000,256,0.010979 s
16,1,100000,256,0.010752 s
16,1,100000,256,0.010610 s
16,1,100000,4096,0.013252 s
16,1,100000,4096,0.013447 s
16,1,100000,4096,0.013313 s
16,1,500000,32,0.047771 s
16,1,500000,32,0.047078 s
16,1,500000,32,0.046892 s
16,1,500000,256,0.053622 s
16,1,500000,256,0.054132 s
16,1,500000,256,0.052577 s
16,1,500000,4096,0.064906 s
16,1,500000,4096,0.062075 s
16,1,500000,4096,0.065102 s
16,1,1000000,32,0.092030 s
16,1,1000000,32,0.089731 s
16,1,1000000,32,0.093326 s
16,1,1000000,256,0.102992 s
16,1,1000000,256,0.103318 s
16,1,1000000,256,0.104078 s
16,1,1000000,4096,0.124182 s
16,1,1000000,4096,0.119428 s
16,1,1000000,4096,0.126143 s
16,2,100000,32,0.001777 s
16,2,100000,32,0.001873 s
16,2,100000,32,0.001738 s
16,2,100000,256,0.001168 s
16,2,100000,256,0.001159 s
16,2,100000,256,0.001140 s
16,2,100000,4096,0.000841 s
16,2,100000,4096,0.000831 s
16,2,100000,4096,0.000735 s
16,2,500000,32,0.007307 s
16,2,500000,32,0.006876 s
16,2,500000,32,0.006786 s
16,2,500000,256,0.004461 s
16,2,500000,256,0.004521 s
16,2,500000,256,0.004642 s
16,2,500000,4096,0.002538 s
16,2,500000,4096,0.002809 s
16,2,500000,4096,0.002666 s
16,2,1000000,32,0.013311 s
16,2,1000000,32,0.013644 s
16,2,1000000,32,0.013646 s
16,2,1000000,256,0.008531 s
16,2,1000000,256,0.008519 s
16,2,1000000,256,0.008443 s
16,2,1000000,4096,0.004833 s
16,2,1000000,4096,0.004838 s
16,2,1000000,4096,0.004488 s
16,3,100000,32,0.000562 s
16,3,100000,32,0.000481 s
16,3,100000,32,0.000514 s
16,3,100000,256,0.000648 s
16,3,100000,256,0.000592 s
16,3,100000,256,0.000532 s
16,3,100000,4096,0.000693 s
16,3,100000,4096,0.001021 s
16,3,100000,4096,0.000931 s
16,3,500000,32,0.001042 s
16,3,500000,32,0.000883 s
16,3,500000,32,0.001176 s
16,3,500000,256,0.000737 s
16,3,500000,256,0.001104 s
16,3,500000,256,0.000756 s
16,3,500000,4096,0.001285 s
16,3,500000,4096,0.001344 s
16,3,500000,4096,0.001442 s
16,3,1000000,32,0.001161 s
16,3,1000000,32,0.001478 s
16,3,1000000,32,0.001209 s
16,3,1000000,256,0.000968 s
16,3,1000000,256,0.001122 s
16,3,1000000,256,0.001370 s
16,3,1000000,4096,0.001506 s
16,3,1000000,4096,0.001757 s
16,3,1000000,4096,0.001500 s
