variant,threads,N,K,chunk,time
sequential,1,100000,20,0,0.471909
static,1,100000,20,0,0.497153
dynamic,1,100000,20,1,0.495455
guided,1,100000,20,1,0.454151
sequential,1,100000,20,0,0.460000
static,1,100000,20,0,0.468338
dynamic,1,100000,20,1,0.440436
guided,1,100000,20,1,0.474544
sequential,1,100000,20,0,0.453333
static,1,100000,20,0,0.474805
dynamic,1,100000,20,1,0.446727
guided,1,100000,20,1,0.450104
sequential,1,100000,20,0,0.485068
static,1,100000,20,0,0.456106
dynamic,1,100000,20,4,0.454080
guided,1,100000,20,4,0.423110
sequential,1,100000,20,0,0.451408
static,1,100000,20,0,0.432401
dynamic,1,100000,20,4,0.448988
guided,1,100000,20,4,0.450421
sequential,1,100000,20,0,0.451649
static,1,100000,20,0,0.434384
dynamic,1,100000,20,4,0.478883
guided,1,100000,20,4,0.515516
sequential,1,100000,20,0,0.457501
static,1,100000,20,0,0.462846
dynamic,1,100000,20,16,0.524523
guided,1,100000,20,16,0.605088
sequential,1,100000,20,0,0.522341
static,1,100000,20,0,0.478876
dynamic,1,100000,20,16,0.552938
guided,1,100000,20,16,0.476059
sequential,1,100000,20,0,0.530113
static,1,100000,20,0,0.480044
dynamic,1,100000,20,16,0.470192
guided,1,100000,20,16,0.451310
sequential,1,100000,20,0,0.462542
static,1,100000,20,0,0.454755
dynamic,1,100000,20,64,0.544140
guided,1,100000,20,64,0.483786
sequential,1,100000,20,0,0.451409
static,1,100000,20,0,0.439460
dynamic,1,100000,20,64,0.449997
guided,1,100000,20,64,0.455717
sequential,1,100000,20,0,0.446441
static,1,100000,20,0,0.451618
dynamic,1,100000,20,64,0.436349
guided,1,100000,20,64,0.451421
sequential,2,100000,20,0,0.457147
static,2,100000,20,0,0.223911
dynamic,2,100000,20,1,0.291643
guided,2,100000,20,1,0.259912
sequential,2,100000,20,0,0.484635
static,2,100000,20,0,0.400687
dynamic,2,100000,20,1,0.343970
guided,2,100000,20,1,0.266533
sequential,2,100000,20,0,0.497465
static,2,100000,20,0,0.239528
dynamic,2,100000,20,1,0.252455
guided,2,100000,20,1,0.286612
sequential,2,100000,20,0,0.573982
static,2,100000,20,0,0.274609
dynamic,2,100000,20,4,0.258690
guided,2,100000,20,4,0.274968
sequential,2,100000,20,0,0.699017
static,2,100000,20,0,0.222782
dynamic,2,100000,20,4,0.232210
guided,2,100000,20,4,0.310536
sequential,2,100000,20,0,0.591496
static,2,100000,20,0,0.338368
dynamic,2,100000,20,4,0.301861
guided,2,100000,20,4,0.313235
sequential,2,100000,20,0,0.610263
static,2,100000,20,0,0.370383
dynamic,2,100000,20,16,0.273776
guided,2,100000,20,16,0.354367
sequential,2,100000,20,0,0.452552
static,2,100000,20,0,0.240343
dynamic,2,100000,20,16,0.245102
guided,2,100000,20,16,0.248837
sequential,2,100000,20,0,0.446260
static,2,100000,20,0,0.229424
dynamic,2,100000,20,16,0.223131
guided,2,100000,20,16,0.222488
sequential,2,100000,20,0,0.450447
static,2,100000,20,0,0.228326
dynamic,2,100000,20,64,0.224900
guided,2,100000,20,64,0.225801
sequential,2,100000,20,0,0.445227
static,2,100000,20,0,0.223459
dynamic,2,100000,20,64,0.223272
guided,2,100000,20,64,0.223432
sequential,2,100000,20,0,0.462704
static,2,100000,20,0,0.229933
dynamic,2,100000,20,64,0.224954
guided,2,100000,20,64,0.225190
sequential,4,100000,20,0,0.438552
static,4,100000,20,0,0.116694
dynamic,4,100000,20,1,0.115207
guided,4,100000,20,1,0.121261
sequential,4,100000,20,0,0.444987
static,4,100000,20,0,0.114804
dynamic,4,100000,20,1,0.118973
guided,4,100000,20,1,0.116294
sequential,4,100000,20,0,0.447068
static,4,100000,20,0,0.115968
dynamic,4,100000,20,1,0.112914
guided,4,100000,20,1,0.113909
sequential,4,100000,20,0,0.432502
static,4,100000,20,0,0.115204
dynamic,4,100000,20,4,0.116337
guided,4,100000,20,4,0.112384
sequential,4,100000,20,0,0.431718
static,4,100000,20,0,0.115353
dynamic,4,100000,20,4,0.115856
guided,4,100000,20,4,0.117816
sequential,4,100000,20,0,0.449853
static,4,100000,20,0,0.118188
dynamic,4,100000,20,4,0.115221
guided,4,100000,20,4,0.113226
sequential,4,100000,20,0,0.451371
static,4,100000,20,0,0.118920
dynamic,4,100000,20,16,0.115807
guided,4,100000,20,16,0.120399
sequential,4,100000,20,0,0.451780
static,4,100000,20,0,0.117786
dynamic,4,100000,20,16,0.115738
guided,4,100000,20,16,0.118832
sequential,4,100000,20,0,0.450508
static,4,100000,20,0,0.133209
dynamic,4,100000,20,16,0.114863
guided,4,100000,20,16,0.113527
sequential,4,100000,20,0,0.450674
static,4,100000,20,0,0.118093
dynamic,4,100000,20,64,0.124991
guided,4,100000,20,64,0.116602
sequential,4,100000,20,0,0.439842
static,4,100000,20,0,0.114379
dynamic,4,100000,20,64,0.112579
guided,4,100000,20,64,0.114286
sequential,4,100000,20,0,0.442994
static,4,100000,20,0,0.116380
dynamic,4,100000,20,64,0.116605
guided,4,100000,20,64,0.120689
sequential,8,100000,20,0,0.450297
static,8,100000,20,0,0.103803
dynamic,8,100000,20,1,0.097601
guided,8,100000,20,1,0.096641
sequential,8,100000,20,0,0.445857
static,8,100000,20,0,0.097929
dynamic,8,100000,20,1,0.093174
guided,8,100000,20,1,0.091303
sequential,8,100000,20,0,0.497203
static,8,100000,20,0,0.098688
dynamic,8,100000,20,1,0.156559
guided,8,100000,20,1,0.111997
sequential,8,100000,20,0,0.448395
static,8,100000,20,0,0.093782
dynamic,8,100000,20,4,0.093143
guided,8,100000,20,4,0.093157
sequential,8,100000,20,0,0.449309
static,8,100000,20,0,0.098398
dynamic,8,100000,20,4,0.093863
guided,8,100000,20,4,0.093393
sequential,8,100000,20,0,0.447303
static,8,100000,20,0,0.094103
dynamic,8,100000,20,4,0.097798
guided,8,100000,20,4,0.094572
sequential,8,100000,20,0,0.441096
static,8,100000,20,0,0.090677
dynamic,8,100000,20,16,0.094592
guided,8,100000,20,16,0.090901
sequential,8,100000,20,0,0.443088
static,8,100000,20,0,0.090480
dynamic,8,100000,20,16,0.090318
guided,8,100000,20,16,0.097097
sequential,8,100000,20,0,0.436254
static,8,100000,20,0,0.090563
dynamic,8,100000,20,16,0.090609
guided,8,100000,20,16,0.090605
sequential,8,100000,20,0,0.451178
static,8,100000,20,0,0.092626
dynamic,8,100000,20,64,0.090097
guided,8,100000,20,64,0.090005
sequential,8,100000,20,0,0.431511
static,8,100000,20,0,0.094287
dynamic,8,100000,20,64,0.094013
guided,8,100000,20,64,0.093057
sequential,8,100000,20,0,0.439260
static,8,100000,20,0,0.091518
dynamic,8,100000,20,64,0.090565
guided,8,100000,20,64,0.093127
sequential,16,100000,20,0,0.441006
static,16,100000,20,0,0.093907
dynamic,16,100000,20,1,0.092019
guided,16,100000,20,1,0.092063
sequential,16,100000,20,0,0.433805
static,16,100000,20,0,0.095678
dynamic,16,100000,20,1,0.090644
guided,16,100000,20,1,0.091874
sequential,16,100000,20,0,0.438829
static,16,100000,20,0,0.092278
dynamic,16,100000,20,1,0.090706
guided,16,100000,20,1,0.098219
sequential,16,100000,20,0,0.439517
static,16,100000,20,0,0.093082
dynamic,16,100000,20,4,0.090919
guided,16,100000,20,4,0.092013
sequential,16,100000,20,0,0.444667
static,16,100000,20,0,0.093237
dynamic,16,100000,20,4,0.090536
guided,16,100000,20,4,0.092297
sequential,16,100000,20,0,0.435552
static,16,100000,20,0,0.098107
dynamic,16,100000,20,4,0.090870
guided,16,100000,20,4,0.091658
sequential,16,100000,20,0,0.450112
static,16,100000,20,0,0.101730
dynamic,16,100000,20,16,0.092033
guided,16,100000,20,16,0.092082
sequential,16,100000,20,0,0.462384
static,16,100000,20,0,0.109820
dynamic,16,100000,20,16,0.091776
guided,16,100000,20,16,0.093681
sequential,16,100000,20,0,0.467033
static,16,100000,20,0,0.097755
dynamic,16,100000,20,16,0.170351
guided,16,100000,20,16,0.111258
sequential,16,100000,20,0,0.452830
static,16,100000,20,0,0.098675
