t,v,n,b,output
1,1,100000,32,0.002029 s
1,1,100000,256,0.002059 s
1,1,100000,4096,0.002369 s
1,1,500000,32,0.011734 s
1,1,500000,256,0.011522 s
1,1,500000,4096,0.011121 s
1,1,1000000,32,0.022433 s
1,1,1000000,256,0.022289 s
1,1,1000000,4096,0.024201 s
1,2,100000,32,0.000919 s
1,2,100000,256,0.000954 s
1,2,100000,4096,0.001600 s
1,2,500000,32,0.005071 s
1,2,500000,256,0.004770 s
1,2,500000,4096,0.006351 s
1,2,1000000,32,0.010425 s
1,2,1000000,256,0.010246 s
1,2,1000000,4096,0.009369 s
1,3,100000,32,0.000439 s
1,3,100000,256,0.000510 s
1,3,100000,4096,0.001382 s
1,3,500000,32,0.004102 s
1,3,500000,256,0.001554 s
1,3,500000,4096,0.002499 s
1,3,1000000,32,0.004050 s
1,3,1000000,256,0.004704 s
1,3,1000000,4096,0.005651 s
2,1,100000,32,0.005560 s
2,1,100000,256,0.005773 s
2,1,100000,4096,0.006446 s
2,1,500000,32,0.026271 s
2,1,500000,256,0.027253 s
2,1,500000,4096,0.032252 s
2,1,1000000,32,0.049696 s
2,1,1000000,256,0.053547 s
2,1,1000000,4096,0.051121 s
2,2,100000,32,0.001669 s
2,2,100000,256,0.001731 s
2,2,100000,4096,0.001317 s
2,2,500000,32,0.008136 s
2,2,500000,256,0.007963 s
2,2,500000,4096,0.005912 s
2,2,1000000,32,0.017074 s
2,2,1000000,256,0.014452 s
2,2,1000000,4096,0.012618 s
2,3,100000,32,0.000247 s
2,3,100000,256,0.000281 s
2,3,100000,4096,0.000321 s
2,3,500000,32,0.000919 s
2,3,500000,256,0.000937 s
2,3,500000,4096,0.001020 s
2,3,1000000,32,0.001745 s
2,3,1000000,256,0.002502 s
2,3,1000000,4096,0.001731 s
4,1,100000,32,0.007970 s
4,1,100000,256,0.008843 s
4,1,100000,4096,0.009413 s
4,1,500000,32,0.043117 s
4,1,500000,256,0.051101 s
4,1,500000,4096,0.056624 s
4,1,1000000,32,0.089943 s
4,1,1000000,256,0.098180 s
4,1,1000000,4096,0.099097 s
4,2,100000,32,0.001901 s
4,2,100000,256,0.010926 s
4,2,100000,4096,0.001046 s
4,2,500000,32,0.010944 s
4,2,500000,256,0.007461 s
4,2,500000,4096,0.005516 s
4,2,1000000,32,0.017966 s
4,2,1000000,256,0.011660 s
4,2,1000000,4096,0.008668 s
4,3,100000,32,0.000274 s
4,3,100000,256,0.000288 s
4,3,100000,4096,0.000483 s
4,3,500000,32,0.001163 s
4,3,500000,256,0.001560 s
4,3,500000,4096,0.000707 s
4,3,1000000,32,0.001128 s
4,3,1000000,256,0.001253 s
4,3,1000000,4096,0.001294 s
8,1,100000,32,0.014914 s
8,1,100000,256,0.014672 s
8,1,100000,4096,0.017196 s
8,1,500000,32,0.085696 s
8,1,500000,256,0.066899 s
8,1,500000,4096,0.076015 s
8,1,1000000,32,0.168068 s
8,1,1000000,256,0.132149 s
8,1,1000000,4096,0.150320 s
8,2,100000,32,0.001812 s
8,2,100000,256,0.001219 s
8,2,100000,4096,0.001081 s
8,2,500000,32,0.008296 s
8,2,500000,256,0.005183 s
8,2,500000,4096,0.003755 s
8,2,1000000,32,0.015452 s
8,2,1000000,256,0.012856 s
8,2,1000000,4096,0.025943 s
8,3,100000,32,0.032643 s
8,3,100000,256,0.040938 s
8,3,100000,4096,0.030124 s
8,3,500000,32,0.020850 s
8,3,500000,256,0.001274 s
8,3,500000,4096,0.033534 s
8,3,1000000,32,0.001065 s
8,3,1000000,256,0.001153 s
8,3,1000000,4096,0.001482 s
16,1,100000,32,0.018613 s
16,1,100000,256,0.019796 s
16,1,100000,4096,0.019437 s
16,1,500000,32,0.117120 s
16,1,500000,256,0.120619 s
16,1,500000,4096,0.121799 s
16,1,1000000,32,0.244119 s
16,1,1000000,256,0.246282 s
16,1,1000000,4096,0.249815 s
16,2,100000,32,0.001890 s
16,2,100000,256,0.001896 s
16,2,100000,4096,0.001292 s
16,2,500000,32,0.007598 s
16,2,500000,256,0.005174 s
16,2,500000,4096,0.005057 s
16,2,1000000,32,0.015493 s
16,2,1000000,256,0.010461 s
16,2,1000000,4096,0.007779 s
16,3,100000,32,0.001557 s
16,3,100000,256,0.001204 s
16,3,100000,4096,0.001392 s
16,3,500000,32,0.001777 s
16,3,500000,256,0.002271 s
16,3,500000,4096,0.001514 s
16,3,1000000,32,0.002833 s
16,3,1000000,256,0.002875 s
16,3,1000000,4096,0.003115 s
